timestampSim,generacion,idPedido,fitness,costoTotal,tiempoTotalMin,distTotalKm,violacionesSLA,violacionesCap,escalasProm,ocupacionProm,ruta
1770,2,0000003,2.880060,500.400000,400.000000,1302.888421,0,0,1.000000,0.419792,UMMS->LOWW->LKPR
3377,25,0000004,2.450082,479.600000,360.000000,899.486117,0,0,1.000000,0.397222,LBSF->LATI->LDZA
4820,11,0000011,2.782679,530.300000,376.000000,1154.356536,0,0,1.000000,0.440000,EKCH->LOWW->LKPR
7591,2,0000020,2.899490,504.950000,380.000000,1356.377434,0,0,1.000000,0.453333,EDDI->EBCI->LKPR
10361,25,0000033,2.126881,349.000000,260.000000,1083.145881,0,0,0.000000,0.473333,SPIM->SLLP
10361,11,0000034,2.834136,538.750000,368.000000,1213.579681,0,0,1.000000,0.445490,EHAM->EBCI->LDZA
10978,11,0000032,2.759208,346.400000,256.000000,1888.277491,0,0,0.000000,0.414706,SPIM->SKBO
13243,25,0000045,2.437422,245.000000,100.000000,2060.237162,0,0,0.000000,0.408333,OPKC->OERK
16912,2,0000058,2.467299,521.850000,316.000000,903.663208,0,0,1.000000,0.510000,EHAM->EBCI->LKPR
17716,11,0000058,3.128038,369.150000,291.000000,2220.489755,0,0,0.000000,0.425000,UBBB->LBSF
20693,25,0000066,3.457313,386.050000,317.000000,2536.384937,0,0,0.000000,0.436111,LATI->UBBB
20731,11,0000068,2.184847,293.100000,174.000000,1472.145263,0,0,0.000000,0.493750,SGAS->SLLP
20982,25,0000072,0.868400,227.450000,73.000000,198.338782,0,0,0.000000,0.500000,SUAA->SABE
23074,21,0000075,2.014972,282.700000,158.000000,1318.692906,0,0,0.000000,0.503125,EDDI->LATI
28263,21,0000097,3.153104,340.550000,247.000000,2413.774090,0,0,0.000000,0.537500,OAKB->OERK
30177,25,0000104,1.296325,246.950000,103.000000,622.824352,0,0,0.000000,0.517647,LKPR->EKCH
31474,21,0000109,2.242717,356.800000,272.000000,1183.772011,0,0,0.000000,0.523529,OERK->OOMS
42734,24,0000149,1.715360,268.400000,136.000000,1025.154465,0,0,0.000000,0.618750,UMMS->LOWW
