pedido_id,dia,hub_origen,destino,ruta,asignados,pendientes,fitness
0000006,1,EBCI,EHAM,"[com.morapack.ga.Vuelo@61e4705b]",130,0,0.8832
0000003,1,UBBB,VIDP,"[com.morapack.ga.Vuelo@deb6432]",130,0,3.7873
0000001,1,EBCI,UMMS,"[com.morapack.ga.Vuelo@28ba21f3]",129,0,1.6042
0000004,1,SPIM,SKBO,"[com.morapack.ga.Vuelo@f2a0b8e]",130,0,2.1269
0000005,1,SPIM,SEQM,"[com.morapack.ga.Vuelo@593634ad]",130,0,2.2306
0000002,1,UBBB,OAKB,"[com.morapack.ga.Vuelo@20fa23c1]",129,0,1.7961
0000007,1,EBCI,LBSF,"[com.morapack.ga.Vuelo@3581c5f3]",130,0,1.5329
0000010,2,SPIM,SVMI,"[com.morapack.ga.Vuelo@6aa8ceb6, com.morapack.ga.Vuelo@2530c12]",132,0,3.4766
0000013,2,UBBB,OSDI,"[com.morapack.ga.Vuelo@73c6c3b2]",132,0,2.0687
0000008,2,EBCI,UMMS,"[com.morapack.ga.Vuelo@48533e64]",131,0,2.7141
0000012,2,UBBB,OERK,"[com.morapack.ga.Vuelo@64a294a6]",132,0,2.6535
0000011,2,UBBB,VIDP,"[com.morapack.ga.Vuelo@7e0b37bc]",132,0,2.0497
0000009,2,EBCI,LBSF,"[com.morapack.ga.Vuelo@3b95a09c]",131,0,1.7096
0000018,3,EBCI,LKPR,"[com.morapack.ga.Vuelo@6ae40994]",135,0,1.3858
0000016,3,UBBB,OAKB,"[com.morapack.ga.Vuelo@1a93a7ca]",134,0,3.0487
0000014,3,EBCI,EKCH,"[com.morapack.ga.Vuelo@3d82c5f3]",134,0,1.4763
0000017,3,EBCI,LATI,"[com.morapack.ga.Vuelo@2b05039f]",134,0,2.2465
0000015,3,EBCI,EKCH,"[com.morapack.ga.Vuelo@3d82c5f3]",134,0,1.4763
0000019,3,UBBB,OPKC,"[com.morapack.ga.Vuelo@61e717c2]",135,0,2.0688
0000021,4,SPIM,SEQM,"[com.morapack.ga.Vuelo@66cd51c3]",136,0,0.8398
0000023,4,UBBB,OSDI,"[com.morapack.ga.Vuelo@4dcbadb4]",137,0,2.3216
0000024,4,EBCI,EDDI,"[com.morapack.ga.Vuelo@4e515669]",137,0,1.2041
0000020,4,UBBB,OAKB,"[com.morapack.ga.Vuelo@17d10166]",136,0,1.6963
0000022,4,SPIM,SGAS,"[com.morapack.ga.Vuelo@1b9e1916]",137,0,3.6129
0000025,4,SPIM,SEQM,"[com.morapack.ga.Vuelo@593634ad]",137,0,2.2306
0000028,5,UBBB,VIDP,"[com.morapack.ga.Vuelo@ba8a1dc]",139,0,2.5389
0000026,5,EBCI,LBSF,"[com.morapack.ga.Vuelo@6ae40994, com.morapack.ga.Vuelo@4f8e5cde]",139,0,2.6214
0000029,5,UBBB,OPKC,"[com.morapack.ga.Vuelo@deb6432]",140,0,3.7873
0000027,5,EBCI,EHAM,"[com.morapack.ga.Vuelo@61e4705b]",139,0,0.8832
0000030,5,SPIM,SBBR,"[com.morapack.ga.Vuelo@504bae78, com.morapack.ga.Vuelo@3b764bce]",140,0,3.6506
0000031,6,SPIM,SLLP,"[com.morapack.ga.Vuelo@759ebb3d]",141,0,2.1269
0000033,6,SPIM,SABE,"[com.morapack.ga.Vuelo@484b61fc]",142,0,4.2244
0000034,6,SPIM,SGAS,"[com.morapack.ga.Vuelo@1b9e1916]",142,0,3.6129
0000032,6,SPIM,SCEL,"[com.morapack.ga.Vuelo@45fe3ee3]",141,0,3.5362
0000035,6,SPIM,SUAA,"[com.morapack.ga.Vuelo@4cdf35a9]",142,0,4.5531
0000039,7,EBCI,LKPR,"[com.morapack.ga.Vuelo@6ae40994]",26,118,1.3858
0000039,7,EBCI,LKPR,"[com.morapack.ga.Vuelo@4c98385c]",118,0,1.3858
0000036,7,EBCI,LATI,"[com.morapack.ga.Vuelo@5fcfe4b2]",143,0,1.6530
0000038,7,EBCI,LOWW,"[com.morapack.ga.Vuelo@28ba21f3]",144,0,1.6042
0000040,7,EBCI,LDZA,"[com.morapack.ga.Vuelo@6bf2d08e]",144,0,1.1346
0000037,7,EBCI,EDDI,"[com.morapack.ga.Vuelo@5eb5c224]",143,0,1.2758
0000041,8,EBCI,EKCH,"[com.morapack.ga.Vuelo@3d82c5f3]",72,74,1.4763
0000041,8,EBCI,EKCH,"[com.morapack.ga.Vuelo@53e25b76]",74,0,1.3170
0000043,8,UBBB,VIDP,"[com.morapack.ga.Vuelo@6bf2d08e, com.morapack.ga.Vuelo@73a8dfcc]",146,0,2.4216
0000045,8,UBBB,OERK,"[com.morapack.ga.Vuelo@64a294a6]",147,0,2.6535
0000042,8,EBCI,EHAM,"[com.morapack.ga.Vuelo@61e4705b]",91,55,0.8832
0000042,8,EBCI,EHAM,"[com.morapack.ga.Vuelo@ea30797]",55,0,0.8832
0000044,8,UBBB,OSDI,"[com.morapack.ga.Vuelo@7e774085]",147,0,2.0708
0000050,9,EBCI,UMMS,"[com.morapack.ga.Vuelo@3f8f9dd6]",149,0,2.3918
0000048,9,UBBB,OMDB,"[com.morapack.ga.Vuelo@aec6354]",149,0,2.9941
